Chinese Text,English Text,Label
他今天穿着一件米色的卫衣。,He is wearing a beige hoodie today.,1
他今天穿着一件灰色的卫衣。,He is wearing a grey hoodie today.,0
他今天穿着一件米黄色的卫衣。,He is wearing a beige hoodie today.,1
他今天穿着一件浅灰色的卫衣。,He is wearing a light grey hoodie today.,0
他今天穿着一件浅米色的卫衣。,He is wearing a light beige hoodie today.,1
他今天穿着一件深灰色的卫衣。,He is wearing a dark grey hoodie today.,0
他今天穿着一件杏色的卫衣。,He is wearing an apricot hoodie today.,1
他今天穿着一件银灰色的卫衣。,He is wearing a silver grey hoodie today.,0
他今天穿着一件奶油色的卫衣。,He is wearing a cream hoodie today.,1
他今天穿着一件烟灰色的卫衣。,He is wearing a smoky grey hoodie today.,0
她买了一件新的米色的毛衣。,She bought a new beige sweater.,1
她买了一件新的灰色的毛衣。,She bought a new grey sweater.,0
她买了一件新的米黄色的毛衣。,She bought a new beige sweater.,1
她买了一件新的浅灰色的毛衣。,She bought a new light grey sweater.,0
她买了一件新的浅米色的毛衣。,She bought a new light beige sweater.,1
她买了一件新的深灰色的毛衣。,She bought a new dark grey sweater.,0
她买了一件新的杏色的毛衣。,She bought a new apricot sweater.,1
她买了一件新的银灰色的毛衣。,She bought a new silver grey sweater.,0
她买了一件新的奶油色的毛衣。,She bought a new cream sweater.,1
她买了一件新的烟灰色的毛衣。,She bought a new smoky grey sweater.,0
衣柜里挂着一件米色的衬衫。,There is a beige shirt hanging in the closet.,1
衣柜里挂着一件灰色的衬衫。,There is a grey shirt hanging in the closet.,0
衣柜里挂着一件米黄色的衬衫。,There is a beige shirt hanging in the closet.,1
衣柜里挂着一件浅灰色的衬衫。,There is a light grey shirt hanging in the closet.,0
衣柜里挂着一件浅米色的衬衫。,There is a light beige shirt hanging in the closet.,1
衣柜里挂着一件深灰色的衬衫。,There is a dark grey shirt hanging in the closet.,0
衣柜里挂着一件杏色的衬衫。,There is an apricot shirt hanging in the closet.,1
衣柜里挂着一件银灰色的衬衫。,There is a silver grey shirt hanging in the closet.,0
衣柜里挂着一件奶油色的衬衫。,There is a cream shirt hanging in the closet.,1
衣柜里挂着一件烟灰色的衬衫。,There is a smoky grey shirt hanging in the closet.,0
这件米色的外套看起来很暖和。,This beige coat looks very warm.,1
这件灰色的外套看起来很暖和。,This grey coat looks very warm.,0
这件米黄色的外套看起来很暖和。,This beige coat looks very warm.,1
这件浅灰色的外套看起来很暖和。,This light grey coat looks very warm.,0
这件浅米色的外套看起来很暖和。,This light beige coat looks very warm.,1
这件深灰色的外套看起来很暖和。,This dark grey coat looks very warm.,0
